example,issue_word,split_word_1,split_word_2
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
cough - since last nightfever - last night,nightfever,night,fever
cough 7 daysfeverish 5 days,daysfeverish,days,feverish
cough phlegm daysflu syptoms,daysflu,days,flu
